Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623531589.644751,172.10.0.2:57424,,,15,28997
1623531589.682664,172.10.0.2:57424,,,20,37685
1623531589.718981,172.10.0.2:57424,,,20,37685
1623531589.755382,172.10.0.2:57424,,,27,63749
1623531589.792206,172.10.0.2:57424,,,27,63749
1623531589.828879,172.10.0.2:57424,,,30,72437
1623531589.869127,172.10.0.2:57424,,,36,89813
1623531589.905879,172.10.0.2:57424,,,36,89813
1623531589.942334,172.10.0.2:57424,,,38,95605
1623531589.980138,172.10.0.2:57424,,,42,107189
1623531590.018247,172.10.0.2:57424,,,44,112981
1623531590.057002,172.10.0.2:57424,,,48,124565
1623531590.093959,172.10.0.2:57424,,,50,130357
1623531590.132332,172.10.0.2:57424,,,54,141941
1623531590.168942,172.10.0.2:57424,,,58,153525
1623531590.206466,172.10.0.2:57424,,,60,159317
1623531590.244352,172.10.0.2:57424,,,64,170901
1623531590.281632,172.10.0.2:57424,,,66,176693
1623531590.320850,172.10.0.2:57424,,,70,188277
1623531590.357434,172.10.0.2:57424,,,72,194069
1623531590.394270,172.10.0.2:57424,,,76,205653
1623531590.431967,172.10.0.2:57424,,,78,211445
1623531590.468693,172.10.0.2:57424,,,82,223029
1623531590.507061,172.10.0.2:57424,,,84,228821
1623531590.545184,172.10.0.2:57424,,,88,240405
1623531590.583450,172.10.0.2:57424,,,92,251989
1623531590.627110,172.10.0.2:57424,,,94,257781
1623531590.665314,172.10.0.2:57424,,,98,269365
1623531590.704367,172.10.0.2:57424,,,102,280949
1623531590.741835,172.10.0.2:57424,,,104,286741
1623531590.780405,172.10.0.2:57424,,,108,298325
1623531590.817195,172.10.0.2:57424,,,110,304117
1623531590.853763,172.10.0.2:57424,,,114,315701
1623531590.892847,172.10.0.2:57424,,,116,321493
1623531590.930569,172.10.0.2:57424,,,120,333077
1623531590.968841,172.10.0.2:57424,,,122,338869
1623531591.005557,172.10.0.2:57424,,,126,350453
1623531591.045122,172.10.0.2:57424,,,130,362037
1623531591.082177,172.10.0.2:57424,,,132,367829
1623531591.120132,172.10.0.2:57424,,,136,379413
1623531591.156881,172.10.0.2:57424,,,138,385205
1623531591.195548,172.10.0.2:57424,4,4,134,110
1623531591.232165,172.10.0.2:57424,5,5,131,110
1623531591.270023,172.10.0.2:57424,8,8,126,110
1623531591.309024,172.10.0.2:57424,12,12,122,110
1623531591.348620,172.10.0.2:57424,13,13,119,110
1623531591.387291,172.10.0.2:57424,16,16,114,110
1623531591.424788,172.10.0.2:57424,16,16,110,110
1623531591.460948,172.10.0.2:57424,20,20,106,110
1623531591.499336,172.10.0.2:57424,22,22,104,110
1623531591.537416,172.10.0.2:57424,26,26,100,110
1623531591.575578,172.10.0.2:57424,28,28,98,110
1623531591.617201,172.10.0.2:57424,32,32,94,110
1623531591.654810,172.10.0.2:57424,36,36,90,110
1623531591.693155,172.10.0.2:57424,38,38,88,110
1623531591.730734,172.10.0.2:57424,42,42,84,110
1623531591.768510,172.10.0.2:57424,45,45,82,110
1623531591.816781,172.10.0.2:57424,49,49,79,110
1623531591.853650,172.10.0.2:57424,53,53,75,110
1623531591.892409,172.10.0.2:57424,55,55,73,110
1623531591.928994,172.10.0.2:57424,59,59,69,110
1623531591.966722,172.10.0.2:57424,61,61,67,110
1623531592.005317,172.10.0.2:57424,67,69,70,110
1623531592.043016,172.10.0.2:57424,65,69,71,110
1623531592.080630,172.10.0.2:57424,62,69,74,110
1623531592.118715,172.10.0.2:57424,59,69,76,110
1623531592.158108,172.10.0.2:57424,55,69,79,110
1623531592.196053,172.10.0.2:57424,51,69,82,110
1623531592.233609,172.10.0.2:57424,49,69,83,110
1623531592.271659,172.10.0.2:57424,45,69,85,110
1623531592.310097,172.10.0.2:57424,43,69,86,110
1623531592.347529,172.10.0.2:57424,39,69,88,110
1623531592.385750,172.10.0.2:57424,37,69,89,110
1623531592.424404,172.10.0.2:57424,33,69,91,110
1623531592.461548,172.10.0.2:57424,29,69,93,110
1623531592.500982,172.10.0.2:57424,27,69,94,110
1623531592.539939,172.10.0.2:57424,24,69,97,110
1623531592.578574,172.10.0.2:57424,21,69,100,110
1623531592.622294,172.10.0.2:57424,18,69,103,110
1623531592.664021,172.10.0.2:57424,14,69,105,110
1623531592.702026,172.10.0.2:57424,10,69,107,110
1623531592.740594,172.10.0.2:57424,6,69,109,110
1623531592.779520,172.10.0.2:57424,4,69,110,110
1623531592.817453,172.10.0.2:57424,0,69,110,110
1623531592.854967,172.10.0.2:57424,0,69,110,110
1623531592.891980,172.10.0.2:57424,2,71,106,87
1623531592.930439,172.10.0.2:57424,6,75,103,87
1623531592.968497,172.10.0.2:57424,7,76,101,87
1623531593.006626,172.10.0.2:57424,11,80,96,87
1623531593.043357,172.10.0.2:57424,12,81,95,87
1623531593.082122,172.10.0.2:57424,14,83,92,87
1623531593.120008,172.10.0.2:57424,15,84,91,87
1623531593.157236,172.10.0.2:57424,17,86,87,87
