Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623531087.765506,172.10.0.2:57420,,,15,28997
1623531087.800775,172.10.0.2:57420,,,20,37685
1623531087.836581,172.10.0.2:57420,,,20,37685
1623531087.871932,172.10.0.2:57420,,,27,63749
1623531087.908401,172.10.0.2:57420,,,27,63749
1623531087.943327,172.10.0.2:57420,,,30,72437
1623531087.978270,172.10.0.2:57420,,,36,89813
1623531088.015280,172.10.0.2:57420,,,36,89813
1623531088.050492,172.10.0.2:57420,,,36,89813
1623531088.086891,172.10.0.2:57420,,,40,101397
1623531088.122654,172.10.0.2:57420,,,42,107189
1623531088.159023,172.10.0.2:57420,,,46,112981
1623531088.194986,172.10.0.2:57420,,,48,115877
1623531088.230105,172.10.0.2:57420,,,52,121669
1623531088.265997,172.10.0.2:57420,,,54,124565
1623531088.302265,172.10.0.2:57420,,,54,54
1623531088.338597,172.10.0.2:57420,,,54,54
1623531088.373414,172.10.0.2:57420,,,54,54
1623531088.410091,172.10.0.2:57420,,,54,54
1623531088.446688,172.10.0.2:57420,,,54,54
1623531088.489507,172.10.0.2:57420,,,54,54
1623531088.526377,172.10.0.2:57420,,,54,54
1623531088.562421,172.10.0.2:57420,,,55,54
1623531088.600149,172.10.0.2:57420,,,55,54
1623531088.636374,172.10.0.2:57420,,,55,54
1623531088.673200,172.10.0.2:57420,,,55,54
1623531088.708852,172.10.0.2:57420,,,55,54
1623531088.750589,172.10.0.2:57420,,,55,54
1623531088.787716,172.10.0.2:57420,,,56,54
1623531088.823980,172.10.0.2:57420,,,56,54
1623531088.861442,172.10.0.2:57420,,,56,54
1623531088.897174,172.10.0.2:57420,,,56,54
1623531088.932574,172.10.0.2:57420,,,56,54
1623531088.966860,172.10.0.2:57420,,,56,54
1623531089.017109,172.10.0.2:57420,,,56,54
1623531089.054051,172.10.0.2:57420,,,57,54
1623531089.090083,172.10.0.2:57420,,,57,54
1623531089.126301,172.10.0.2:57420,,,57,54
1623531089.164704,172.10.0.2:57420,,,57,54
1623531089.200550,172.10.0.2:57420,,,57,54
1623531089.236974,172.10.0.2:57420,,,57,54
1623531089.273389,172.10.0.2:57420,,,58,54
1623531089.310336,172.10.0.2:57420,,,58,54
1623531089.345478,172.10.0.2:57420,,,58,54
1623531089.383501,172.10.0.2:57420,,,58,54
1623531089.418079,172.10.0.2:57420,,,58,54
1623531089.454119,172.10.0.2:57420,,,58,54
1623531089.490461,172.10.0.2:57420,,,58,54
1623531089.526639,172.10.0.2:57420,,,59,54
1623531089.561884,172.10.0.2:57420,,,59,54
1623531089.597399,172.10.0.2:57420,,,59,54
1623531089.634956,172.10.0.2:57420,,,59,54
1623531089.672297,172.10.0.2:57420,,,59,54
1623531089.708582,172.10.0.2:57420,,,59,54
1623531089.747042,172.10.0.2:57420,,,59,54
1623531089.783349,172.10.0.2:57420,,,60,54
1623531089.821199,172.10.0.2:57420,,,60,54
1623531089.856359,172.10.0.2:57420,,,60,54
1623531089.892499,172.10.0.2:57420,,,60,54
1623531089.928426,172.10.0.2:57420,,,60,54
1623531089.965557,172.10.0.2:57420,,,60,54
1623531090.003179,172.10.0.2:57420,,,61,54
1623531090.038516,172.10.0.2:57420,,,61,54
1623531090.074380,172.10.0.2:57420,,,61,54
1623531090.109469,172.10.0.2:57420,,,61,54
1623531090.147455,172.10.0.2:57420,,,61,54
1623531090.182700,172.10.0.2:57420,,,61,54
1623531090.218105,172.10.0.2:57420,,,61,54
1623531090.253276,172.10.0.2:57420,,,62,54
1623531090.290329,172.10.0.2:57420,,,62,54
1623531090.326417,172.10.0.2:57420,,,62,54
1623531090.362138,172.10.0.2:57420,,,62,54
1623531090.397328,172.10.0.2:57420,,,62,54
1623531090.433478,172.10.0.2:57420,,,62,54
1623531090.469698,172.10.0.2:57420,,,62,54
1623531090.507492,172.10.0.2:57420,,,63,54
1623531090.543936,172.10.0.2:57420,,,63,54
1623531090.579902,172.10.0.2:57420,,,63,54
1623531090.615957,172.10.0.2:57420,,,63,54
1623531090.652618,172.10.0.2:57420,,,63,54
1623531090.688967,172.10.0.2:57420,,,63,54
1623531090.727531,172.10.0.2:57420,,,64,54
1623531090.762438,172.10.0.2:57420,,,64,54
1623531090.799419,172.10.0.2:57420,,,64,54
1623531090.839221,172.10.0.2:57420,,,64,54
1623531090.876001,172.10.0.2:57420,,,64,54
1623531090.911909,172.10.0.2:57420,,,64,54
1623531090.947835,172.10.0.2:57420,,,64,54
1623531090.984941,172.10.0.2:57420,,,65,54
1623531091.022363,172.10.0.2:57420,,,65,54
1623531091.058044,172.10.0.2:57420,,,65,54
1623531091.093956,172.10.0.2:57420,,,65,54
1623531091.132349,172.10.0.2:57420,,,65,54
1623531091.167377,172.10.0.2:57420,,,65,54
1623531091.204464,172.10.0.2:57420,,,65,54
1623531091.240383,172.10.0.2:57420,,,66,54
1623531091.275377,172.10.0.2:57420,,,66,54
1623531091.313428,172.10.0.2:57420,,,66,54
1623531091.349118,172.10.0.2:57420,,,66,54
1623531091.385729,172.10.0.2:57420,,,66,54
1623531091.420764,172.10.0.2:57420,,,66,54
1623531091.455950,172.10.0.2:57420,,,67,54
1623531091.494152,172.10.0.2:57420,,,67,54
1623531091.529177,172.10.0.2:57420,,,67,54
1623531091.564640,172.10.0.2:57420,,,67,54
1623531091.599557,172.10.0.2:57420,,,67,54
1623531091.638100,172.10.0.2:57420,,,67,54
1623531091.674094,172.10.0.2:57420,,,67,54
1623531091.710888,172.10.0.2:57420,,,68,54
1623531091.751412,172.10.0.2:57420,,,68,54
1623531091.789897,172.10.0.2:57420,,,68,54
1623531091.824577,172.10.0.2:57420,,,68,54
1623531091.860291,172.10.0.2:57420,,,68,54
1623531091.897968,172.10.0.2:57420,,,68,54
1623531091.932692,172.10.0.2:57420,,,69,54
1623531091.970138,172.10.0.2:57420,,,69,54
1623531092.005557,172.10.0.2:57420,,,69,54
1623531092.041185,172.10.0.2:57420,,,70,54
1623531092.076538,172.10.0.2:57420,,,70,54
1623531092.114077,172.10.0.2:57420,,,70,54
