Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623529627.988152,172.10.0.2:57400,,,15,28997
1623529628.023728,172.10.0.2:57400,,,20,37685
1623529628.060961,172.10.0.2:57400,,,20,37685
1623529628.096549,172.10.0.2:57400,,,27,63749
1623529628.132475,172.10.0.2:57400,,,27,63749
1623529628.166184,172.10.0.2:57400,,,30,72437
1623529628.201877,172.10.0.2:57400,,,30,72437
1623529628.237668,172.10.0.2:57400,,,36,89813
1623529628.273970,172.10.0.2:57400,,,38,95605
1623529628.310536,172.10.0.2:57400,,,40,101397
1623529628.349575,172.10.0.2:57400,,,42,107189
1623529628.384687,172.10.0.2:57400,,,46,118773
1623529628.422657,172.10.0.2:57400,,,50,130357
1623529628.459721,172.10.0.2:57400,,,52,136149
1623529628.499267,172.10.0.2:57400,,,56,147733
1623529628.542056,172.10.0.2:57400,,,58,153525
1623529628.577431,172.10.0.2:57400,,,62,165109
1623529628.616527,172.10.0.2:57400,,,66,176693
1623529628.652992,172.10.0.2:57400,,,68,182485
1623529628.690035,172.10.0.2:57400,,,72,194069
1623529628.724603,172.10.0.2:57400,,,74,199861
1623529628.768268,172.10.0.2:57400,,,78,211445
1623529628.805846,172.10.0.2:57400,,,80,217237
1623529628.841969,172.10.0.2:57400,,,84,228821
1623529628.877849,172.10.0.2:57400,,,86,234613
1623529628.915915,172.10.0.2:57400,,,90,246197
1623529628.960530,172.10.0.2:57400,,,92,251989
1623529628.998703,172.10.0.2:57400,,,96,263573
1623529629.035408,172.10.0.2:57400,,,100,275157
1623529629.069939,172.10.0.2:57400,,,102,280949
1623529629.114336,172.10.0.2:57400,,,106,292533
1623529629.152589,172.10.0.2:57400,,,110,304117
1623529629.189990,172.10.0.2:57400,,,112,309909
1623529629.226935,172.10.0.2:57400,,,116,321493
1623529629.264682,172.10.0.2:57400,,,118,327285
1623529629.301894,172.10.0.2:57400,,,122,338869
1623529629.339571,172.10.0.2:57400,,,124,344661
1623529629.379755,172.10.0.2:57400,,,128,356245
1623529629.420477,172.10.0.2:57400,,,132,367829
1623529629.459545,172.10.0.2:57400,,,134,373621
1623529629.498453,172.10.0.2:57400,,,138,385205
1623529629.535933,172.10.0.2:57400,2,2,132,69
1623529629.573055,172.10.0.2:57400,3,3,129,69
1623529629.608374,172.10.0.2:57400,5,5,123,69
1623529629.649999,172.10.0.2:57400,6,6,120,69
1623529629.688374,172.10.0.2:57400,8,8,114,69
1623529629.728677,172.10.0.2:57400,9,9,111,69
1623529629.767499,172.10.0.2:57400,11,11,105,69
1623529629.804534,172.10.0.2:57400,13,13,99,69
1623529629.841966,172.10.0.2:57400,14,14,96,69
1623529629.877467,172.10.0.2:57400,16,16,90,69
1623529629.914187,172.10.0.2:57400,17,17,87,69
1623529629.956826,172.10.0.2:57400,19,19,81,69
1623529629.994157,172.10.0.2:57400,20,20,78,69
1623529630.029672,172.10.0.2:57400,22,22,72,69
1623529630.066381,172.10.0.2:57400,23,23,69,69
1623529630.111320,172.10.0.2:57400,26,26,65,69
1623529630.148069,172.10.0.2:57400,30,30,64,69
1623529630.184539,172.10.0.2:57400,34,34,60,69
1623529630.219630,172.10.0.2:57400,36,36,58,69
1623529630.262033,172.10.0.2:57400,40,40,54,69
1623529630.297345,172.10.0.2:57400,44,44,50,69
1623529630.336404,172.10.0.2:57400,46,46,48,69
1623529630.373934,172.10.0.2:57400,66,69,69,69
1623529630.409988,172.10.0.2:57400,63,69,69,69
1623529630.448122,172.10.0.2:57400,60,69,69,69
1623529630.488657,172.10.0.2:57400,57,69,69,69
1623529630.525730,172.10.0.2:57400,54,69,69,69
1623529630.564299,172.10.0.2:57400,51,69,69,69
1623529630.601700,172.10.0.2:57400,48,69,69,69
1623529630.641862,172.10.0.2:57400,44,69,69,69
1623529630.680581,172.10.0.2:57400,41,69,69,69
1623529630.717871,172.10.0.2:57400,37,69,69,69
1623529630.754756,172.10.0.2:57400,35,69,69,69
1623529630.791101,172.10.0.2:57400,31,69,69,69
1623529630.829843,172.10.0.2:57400,29,69,69,69
1623529630.865994,172.10.0.2:57400,25,69,69,69
1623529630.904915,172.10.0.2:57400,23,69,69,69
1623529631.012118,172.10.0.2:57400,18,69,69,69
1623529631.050704,172.10.0.2:57400,10,69,69,69
1623529631.090591,172.10.0.2:57400,6,69,69,69
1623529631.126460,172.10.0.2:57400,4,69,69,69
1623529631.162600,172.10.0.2:57400,0,69,69,69
1623529631.200420,172.10.0.2:57400,0,69,69,69
1623529631.236538,172.10.0.2:57400,0,69,69,69
1623529631.275875,172.10.0.2:57400,0,69,69,69
1623529631.313517,172.10.0.2:57400,0,69,69,69
1623529631.349695,172.10.0.2:57400,0,69,69,69
1623529631.385488,172.10.0.2:57400,0,69,69,69
1623529631.422977,172.10.0.2:57400,0,69,69,69
1623529631.461228,172.10.0.2:57400,0,69,69,69
1623529631.498707,172.10.0.2:57400,0,69,69,69
1623529631.535906,172.10.0.2:57400,0,69,69,69
1623529631.574889,172.10.0.2:57400,0,69,69,69
1623529631.612452,172.10.0.2:57400,0,69,69,69
1623529631.652058,172.10.0.2:57400,0,69,69,69
1623529631.688980,172.10.0.2:57400,0,69,69,69
1623529631.726312,172.10.0.2:57400,0,69,69,69
1623529631.764540,172.10.0.2:57400,0,69,69,69
1623529631.804177,172.10.0.2:57400,0,69,69,69
1623529631.852538,172.10.0.2:57400,0,69,69,69
1623529631.890414,172.10.0.2:57400,0,69,69,69
1623529631.928084,172.10.0.2:57400,0,69,69,69
1623529631.972475,172.10.0.2:57400,0,69,69,69
1623529632.009647,172.10.0.2:57400,0,69,70,69
1623529632.052542,172.10.0.2:57400,0,69,70,69
1623529632.087716,172.10.0.2:57400,0,69,70,69
1623529632.125001,172.10.0.2:57400,0,69,70,69
1623529632.164037,172.10.0.2:57400,0,69,70,69
1623529632.200468,172.10.0.2:57400,0,69,70,69
1623529632.237552,172.10.0.2:57400,0,69,70,69
1623529632.275850,172.10.0.2:57400,0,69,70,69
1623529632.311267,172.10.0.2:57400,0,69,70,69
1623529632.352144,172.10.0.2:57400,0,69,70,69
1623529632.406625,172.10.0.2:57400,0,69,70,69
1623529632.443464,172.10.0.2:57400,0,69,70,69
1623529632.481652,172.10.0.2:57400,0,69,70,69
1623529632.518471,172.10.0.2:57400,0,69,70,69
1623529632.556133,172.10.0.2:57400,0,69,70,69
1623529632.592562,172.10.0.2:57400,0,69,70,69
1623529632.628934,172.10.0.2:57400,0,69,70,69
1623529632.667400,172.10.0.2:57400,0,69,70,69
1623529632.703962,172.10.0.2:57400,0,69,70,69
1623529632.740154,172.10.0.2:57400,0,69,70,69
1623529632.776085,172.10.0.2:57400,0,69,70,69
1623529632.812786,172.10.0.2:57400,0,69,70,69
1623529632.850109,172.10.0.2:57400,0,69,71,69
1623529632.886048,172.10.0.2:57400,2,71,67,35
1623529632.922633,172.10.0.2:57400,2,71,65,35
1623529632.964782,172.10.0.2:57400,2,71,64,35
1623529633.003388,172.10.0.2:57400,2,71,62,35
1623529633.042251,172.10.0.2:57400,2,71,60,35
1623529633.080067,172.10.0.2:57400,2,71,59,35
1623529633.117552,172.10.0.2:57400,2,71,57,35
1623529633.160432,172.10.0.2:57400,2,71,56,35
1623529633.198690,172.10.0.2:57400,2,71,54,35
1623529633.236950,172.10.0.2:57400,2,71,52,35
1623529633.283942,172.10.0.2:57400,2,71,51,35
1623529633.323794,172.10.0.2:57400,2,71,49,35
1623529633.359908,172.10.0.2:57400,2,71,47,35
1623529633.407417,172.10.0.2:57400,2,71,45,35
1623529633.445068,172.10.0.2:57400,2,71,44,35
1623529633.489801,172.10.0.2:57400,2,71,42,35
1623529633.530876,172.10.0.2:57400,2,71,40,35
1623529633.568288,172.10.0.2:57400,2,71,38,35
1623529633.605891,172.10.0.2:57400,2,71,35,35
1623529633.644491,172.10.0.2:57400,2,71,35,35
1623529633.681480,172.10.0.2:57400,1,71,35,35
1623529633.717199,172.10.0.2:57400,0,71,35,35
1623529633.755896,172.10.0.2:57400,0,71,35,35
1623529633.793548,172.10.0.2:57400,0,71,35,35
1623529633.832268,172.10.0.2:57400,0,71,35,35
1623529633.868005,172.10.0.2:57400,0,71,35,35
1623529633.907996,172.10.0.2:57400,0,71,35,35
1623529633.943734,172.10.0.2:57400,0,71,35,35
