Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623532528.948345,172.10.0.2:57436,,,15,28997
1623532528.985028,172.10.0.2:57436,,,20,37685
1623532529.022751,172.10.0.2:57436,,,20,37685
1623532529.058476,172.10.0.2:57436,,,27,63749
1623532529.095393,172.10.0.2:57436,,,27,63749
1623532529.132738,172.10.0.2:57436,,,30,72437
1623532529.170580,172.10.0.2:57436,,,36,89813
1623532529.206731,172.10.0.2:57436,,,36,89813
1623532529.243210,172.10.0.2:57436,,,2,1
1623532529.280592,172.10.0.2:57436,,,2,1
1623532529.315901,172.10.0.2:57436,,,2,1
1623532529.354004,172.10.0.2:57436,,,2,1
1623532529.390396,172.10.0.2:57436,,,2,1
1623532529.427098,172.10.0.2:57436,,,2,1
1623532529.463832,172.10.0.2:57436,,,2,1
1623532529.502584,172.10.0.2:57436,,,2,1
1623532529.538113,172.10.0.2:57436,,,2,1
1623532529.574799,172.10.0.2:57436,,,2,1
1623532529.611842,172.10.0.2:57436,,,2,1
1623532529.647557,172.10.0.2:57436,,,2,1
1623532529.684870,172.10.0.2:57436,,,2,1
1623532529.722462,172.10.0.2:57436,,,3,1
1623532529.758327,172.10.0.2:57436,,,4,3
1623532529.795579,172.10.0.2:57436,,,5,3
1623532529.832872,172.10.0.2:57436,,,5,3
1623532529.870583,172.10.0.2:57436,,,5,3
1623532529.912722,172.10.0.2:57436,,,6,3
1623532529.949842,172.10.0.2:57436,,,6,3
1623532529.986139,172.10.0.2:57436,,,6,3
1623532530.023346,172.10.0.2:57436,,,5,3
1623532530.059641,172.10.0.2:57436,,,5,3
1623532530.095831,172.10.0.2:57436,,,4,3
1623532530.138105,172.10.0.2:57436,,,5,3
1623532530.175192,172.10.0.2:57436,,,5,3
1623532530.211970,172.10.0.2:57436,,,5,3
1623532530.249701,172.10.0.2:57436,,,5,3
1623532530.285265,172.10.0.2:57436,,,6,3
1623532530.323052,172.10.0.2:57436,,,6,3
1623532530.359307,172.10.0.2:57436,,,6,3
1623532530.397257,172.10.0.2:57436,,,6,3
1623532530.433195,172.10.0.2:57436,,,5,3
1623532530.469755,172.10.0.2:57436,,,5,3
1623532530.506761,172.10.0.2:57436,,,4,3
1623532530.545033,172.10.0.2:57436,,,4,3
1623532530.580664,172.10.0.2:57436,,,5,3
1623532530.616193,172.10.0.2:57436,,,5,3
1623532530.651369,172.10.0.2:57436,,,5,3
1623532530.690313,172.10.0.2:57436,,,6,3
1623532530.726287,172.10.0.2:57436,,,6,3
1623532530.762534,172.10.0.2:57436,,,6,3
1623532530.798467,172.10.0.2:57436,,,5,3
1623532530.835693,172.10.0.2:57436,,,5,3
1623532530.873780,172.10.0.2:57436,,,4,3
1623532530.914959,172.10.0.2:57436,,,5,3
1623532530.950896,172.10.0.2:57436,,,5,3
1623532530.986393,172.10.0.2:57436,,,5,3
1623532531.023628,172.10.0.2:57436,,,6,3
1623532531.062714,172.10.0.2:57436,,,6,3
1623532531.099228,172.10.0.2:57436,,,6,3
1623532531.135533,172.10.0.2:57436,,,5,3
1623532531.172503,172.10.0.2:57436,,,5,3
1623532531.209418,172.10.0.2:57436,,,4,3
1623532531.247734,172.10.0.2:57436,,,5,3
1623532531.283701,172.10.0.2:57436,,,5,3
1623532531.319727,172.10.0.2:57436,,,5,3
1623532531.356904,172.10.0.2:57436,,,6,3
1623532531.393326,172.10.0.2:57436,,,6,3
1623532531.431249,172.10.0.2:57436,,,6,3
1623532531.467175,172.10.0.2:57436,,,6,3
1623532531.503288,172.10.0.2:57436,,,5,3
1623532531.539497,172.10.0.2:57436,,,5,3
1623532531.576927,172.10.0.2:57436,,,4,3
1623532531.613297,172.10.0.2:57436,,,5,3
1623532531.648949,172.10.0.2:57436,,,5,3
1623532531.686289,172.10.0.2:57436,,,5,3
1623532531.723092,172.10.0.2:57436,,,5,3
1623532531.760922,172.10.0.2:57436,,,5,3
1623532531.797800,172.10.0.2:57436,,,6,3
1623532531.834577,172.10.0.2:57436,,,6,3
1623532531.871164,172.10.0.2:57436,,,6,3
1623532531.911676,172.10.0.2:57436,,,5,3
1623532531.948963,172.10.0.2:57436,,,5,3
1623532531.986807,172.10.0.2:57436,,,4,3
1623532532.022796,172.10.0.2:57436,,,5,3
1623532532.059487,172.10.0.2:57436,,,5,3
1623532532.095367,172.10.0.2:57436,,,5,3
1623532532.131211,172.10.0.2:57436,,,6,3
1623532532.168794,172.10.0.2:57436,,,6,3
1623532532.204963,172.10.0.2:57436,,,6,3
1623532532.241348,172.10.0.2:57436,,,6,3
1623532532.279952,172.10.0.2:57436,,,5,3
1623532532.318874,172.10.0.2:57436,,,5,3
1623532532.355212,172.10.0.2:57436,,,4,3
1623532532.390969,172.10.0.2:57436,,,5,3
1623532532.428311,172.10.0.2:57436,,,5,3
1623532532.467063,172.10.0.2:57436,,,5,3
1623532532.502742,172.10.0.2:57436,,,5,3
1623532532.540834,172.10.0.2:57436,,,6,3
1623532532.579696,172.10.0.2:57436,,,6,3
1623532532.615456,172.10.0.2:57436,,,6,3
1623532532.651685,172.10.0.2:57436,,,6,3
1623532532.689637,172.10.0.2:57436,,,5,3
1623532532.725931,172.10.0.2:57436,,,5,3
1623532532.764526,172.10.0.2:57436,,,4,3
1623532532.800772,172.10.0.2:57436,,,4,3
1623532532.838374,172.10.0.2:57436,,,5,3
1623532532.874335,172.10.0.2:57436,,,5,3
1623532532.916011,172.10.0.2:57436,,,5,3
1623532532.951622,172.10.0.2:57436,,,6,3
1623532532.989494,172.10.0.2:57436,,,6,3
1623532533.025162,172.10.0.2:57436,,,6,3
1623532533.061545,172.10.0.2:57436,,,5,3
1623532533.098929,172.10.0.2:57436,,,5,3
1623532533.137232,172.10.0.2:57436,,,4,3
1623532533.174156,172.10.0.2:57436,,,5,3
1623532533.211811,172.10.0.2:57436,,,5,3
1623532533.247988,172.10.0.2:57436,,,5,3
1623532533.285700,172.10.0.2:57436,,,5,3
1623532533.321282,172.10.0.2:57436,,,5,3
1623532533.359007,172.10.0.2:57436,,,6,3
1623532533.395508,172.10.0.2:57436,,,6,3
1623532533.432933,172.10.0.2:57436,,,6,3
1623532533.470405,172.10.0.2:57436,,,5,3
1623532533.509456,172.10.0.2:57436,,,5,3
1623532533.545717,172.10.0.2:57436,,,4,3
1623532533.583407,172.10.0.2:57436,,,4,3
1623532533.620583,172.10.0.2:57436,,,5,3
1623532533.659564,172.10.0.2:57436,,,5,3
1623532533.696645,172.10.0.2:57436,,,5,3
1623532533.733297,172.10.0.2:57436,,,6,3
1623532533.771238,172.10.0.2:57436,,,6,3
1623532533.807773,172.10.0.2:57436,,,6,3
1623532533.844682,172.10.0.2:57436,,,5,3
1623532533.882620,172.10.0.2:57436,,,5,3
1623532533.924296,172.10.0.2:57436,,,4,3
1623532533.962032,172.10.0.2:57436,,,5,3
1623532533.999947,172.10.0.2:57436,,,5,3
1623532534.036470,172.10.0.2:57436,,,5,3
